field,n_objects
SPLUS-s35s36_predicted,60162
SPLUS-s35s37_predicted,49128
SPLUS-s35s38_predicted,51405
SPLUS-s35s39_predicted,41775
SPLUS-s35s40_predicted,864
SPLUS-s36s23_predicted,41784
SPLUS-s36s24_predicted,42114
SPLUS-s36s25_predicted,43148
SPLUS-s36s26_predicted,52017
SPLUS-s36s27_predicted,43508
SPLUS-s36s28_predicted,41657
SPLUS-s36s29_predicted,52864
SPLUS-s36s30_predicted,44038
SPLUS-s36s31_predicted,43279
SPLUS-s36s32_predicted,46547
SPLUS-s36s33_predicted,45552
SPLUS-s36s34_predicted,47624
SPLUS-s36s35_predicted,46684
SPLUS-s36s36_predicted,46464
SPLUS-s36s37_predicted,42152
SPLUS-s36s38_predicted,12144
SPLUS-s37s20_predicted,3692
SPLUS-s37s23_predicted,37649
SPLUS-s37s24_predicted,36514
SPLUS-s37s25_predicted,38403
SPLUS-s37s26_predicted,41349
SPLUS-s37s27_predicted,46450
SPLUS-s37s28_predicted,41214
SPLUS-s37s29_predicted,50951
SPLUS-s37s30_predicted,52840
SPLUS-s37s31_predicted,49922
SPLUS-s37s32_predicted,46722
SPLUS-s37s33_predicted,50873
SPLUS-s37s34_predicted,38721
SPLUS-s37s35_predicted,48975
SPLUS-s37s36_predicted,31409
SPLUS-s37s37_predicted,168
SPLUS-s38s23_predicted,44581
SPLUS-s38s24_predicted,40622
SPLUS-s38s25_predicted,38936
SPLUS-s38s26_predicted,40144
SPLUS-s38s27_predicted,61850
SPLUS-s38s28_predicted,40495
SPLUS-s38s29_predicted,52288
SPLUS-s38s30_predicted,46975
SPLUS-s38s31_predicted,44373
SPLUS-s38s32_predicted,45718
SPLUS-s38s33_predicted,43120
SPLUS-s38s34_predicted,34061
SPLUS-s38s35_predicted,4692
SPLUS-s39s21_predicted,3472
SPLUS-s39s22_predicted,31289
SPLUS-s39s23_predicted,37145
SPLUS-s39s24_predicted,37300
SPLUS-s39s25_predicted,38067
SPLUS-s39s26_predicted,37293
SPLUS-s39s27_predicted,45624
SPLUS-s39s28_predicted,55350
SPLUS-s39s29_predicted,40989
SPLUS-s39s30_predicted,47391
SPLUS-s39s31_predicted,55318
SPLUS-s39s32_predicted,26196
SPLUS-s39s33_predicted,2707
SPLUS-s40s22_predicted,2809
SPLUS-s40s23_predicted,17714
SPLUS-s40s24_predicted,28602
SPLUS-s40s25_predicted,37072
SPLUS-s40s26_predicted,42550
SPLUS-s40s27_predicted,40849
SPLUS-s40s28_predicted,35481
SPLUS-s40s29_predicted,29162
SPLUS-s40s30_predicted,8438
SPLUS-s41s25_predicted,549
SPLUS-s41s26_predicted,808
