NAME,RA_CLUSTER,DEC_CLUSTER,RADEC_ERR,RA_OPTICAL,DEC_OPTICAL,RA_BCG,DEC_BCG,REFMAG_BCG,BEST_Z,BEST_Z_ERR,BEST_Z_TYPE,Z_LAMBDA,LIT_Z,LIT_Z_ERR,LIT_Z_SRC,SPEC_Z_BOOT,SPEC_Z_BOOT_ERR,N_MEMBERS,BCG_SPEC_Z,VDISP_BOOT,VDISP_BOOT_ERR,VDISP_BOOT_FLAG,VDISP_TYPE,LAMBDA_NORM,LAMBDA_NORM_ERR,LAMBDA_OPT_NORM,LAMBDA_OPT_NORM_ERR,SCALEVAL,MASKFRAC,RUN,LMAX,NHI,EXT_LIKE,SHARED_MEMBERS,IN_FOOTPRINT,LIMMAG_G,IN_ZVLIM,ZVLIM_02,ZVLIM_04,GAIA_10MAG_30_ARCSEC,NGC_30_ARCSEC,HECATE_30_ARCSEC,RA_XFIT,DEC_XFIT,PCONT,EXP,CR500,CTS500,F500,F500_L,F500_H,L500,L500_L,L500_H,CR500_0520,CTS500_0520,F500_0520,F500_L_0520,F500_H_0520,L500_0520,L500_L_0520,L500_H_0520,Lbol500,Lbol500_L,Lbol500_H,KT,KT_L,KT_H,MGAS500,MGAS500_L,MGAS500_H,M500,M500_L,M500_H,FGAS500,FGAS500_L,FGAS500_H,R500,R500_L,R500_H,MATCH_NAME
1eRASS J134722.9-070429,206.8457,-7.07498,16.26,206.8546,-7.06434,206.8546,-7.06434,14.113,0.09613,1.5E-4,cg_spec_z,0.09238,,,none,,,0,0.09613,,,,nan,11.74,2.08,11.23,2.0,1.07939,0.073,legacy_dr10_grz_z_v0.9,12.4871,0.02099,3.51004,false,true,23.36,true,0.677,0.913,false,false,false,206.8423,-7.0731,0.0536,147.4,0.246,36.2,23.309,16.456,32.026,5.812,4.137,7.994,0.199,29.4,17.275,12.211,23.771,4.003,2.848,5.51,15.827,9.396,28.421,-1.0,2.84,-1.0,25.87,12.45,35.76,5.06,3.87,6.67,0.048,0.025,0.076,546.0,499.0,598.0,
1eRASS J134754.5-054058,206.9772,-5.68288,10.69,206.98,-5.68277,206.98,-5.68277,15.752,0.1798,0.00485,photo_z,0.1798,,,none,,,0,,,,,nan,17.82,1.92,17.93,1.93,1.10662,0.097,legacy_dr10_grz_z_v0.9,45.4868,0.01846,3.87822,false,true,24.15,true,0.758,1.015,false,false,false,206.98,-5.6832,0.057,145.7,0.182,26.5,16.15,9.491,26.364,15.796,9.495,25.197,0.15,21.8,12.181,7.201,19.585,11.351,6.688,17.8,28.901,16.087,59.153,-1.0,0.59,-1.0,57.48,32.12,76.02,9.44,6.24,13.28,0.056,0.03,0.095,653.0,568.0,731.0,
1eRASS J134852.0+131346,207.217,13.22953,30.5,207.1856,13.23961,207.1856,13.23961,15.156,0.15161,0.00145,spec_z_boot,0.16668,0.14933,,REDMAPPER-SDSS-DR8,0.15161,0.00145,6,0.14933,674.59,281.9,0.0,gapper,29.34,2.6,29.02,2.58,1.08233,0.077,legacy_dr10_grz_z_v0.9,66.0557,0.01683,10.04752,false,true,23.55,true,0.608,0.809,false,false,false,207.2177,13.2228,0.0049,145.4,0.38,55.3,32.471,25.621,41.009,22.441,17.743,28.074,0.312,45.4,25.141,19.662,31.206,16.214,12.557,20.318,34.779,26.396,45.371,1.01,0.78,1.76,86.02,69.96,102.84,12.69,10.28,15.44,0.068,0.051,0.089,727.0,678.0,776.0,REDMAPPER-SDSS-DR8_RMJ134844.6+131422.6
1eRASS J134928.9+114133,207.3708,11.69259,21.08,207.3765,11.69832,207.3737,11.79721,15.459,0.14132,2.1E-4,spec_z_boot,0.13576,0.14188,,REDMAPPER-SDSS-DR8,0.14132,2.1E-4,5,0.14151,104.56,35.68,0.0,gapper,17.36,1.55,18.58,1.6,1.03292,0.033,legacy_dr10_grz_z_v0.9,32.0724,0.02028,13.74848,false,true,23.34,true,0.648,0.869,false,false,false,207.3729,11.6939,0.0033,138.3,0.539,74.6,49.069,38.312,59.821,28.796,22.089,35.235,0.437,60.4,36.434,28.479,44.694,19.859,15.282,24.274,50.145,38.068,66.786,1.4,1.11,2.97,105.47,85.69,120.77,15.65,12.9,19.03,0.065,0.049,0.085,783.0,734.0,835.0,REDMAPPER-SDSS-DR8_RMJ134930.4+114153.8
1eRASS J135022.0+094012,207.5919,9.67014,2.06,207.562,9.66227,207.4971,9.61605,15.666,0.13257,0.00262,spec_z_boot,0.13222,0.133,,CODEX,0.13257,0.00262,6,0.13259,1013.91,825.44,0.27,gapper,30.24,2.91,32.25,2.94,1.09164,0.087,legacy_dr10_grz_z_v0.9,55.8086,0.0213,126.10042,false,true,22.95,true,0.546,0.726,false,false,false,207.592,9.6698,0.0,148.6,3.873,575.5,356.311,336.013,378.647,182.464,171.77,194.558,3.119,463.5,263.693,248.661,280.447,124.23,117.087,132.581,313.189,290.538,341.238,2.22,1.86,2.87,315.23,281.77,344.0,52.57,48.34,56.01,0.06,0.053,0.068,1176.0,1143.0,1201.0,"CODEX_48903,REDMAPPER-SDSS-DR8_RMJ135014.9+093944.2"
1eRASS J135210.4-264923,208.0435,-26.82306,5.77,208.0335,-26.77804,207.9835,-26.75762,15.421,0.1057,0.00799,photo_z,0.1057,,,none,,,0,0.12496,,,,nan,10.51,2.03,13.75,2.06,1.05499,0.056,legacy_dr10_grz_z_v0.9,10.1416,0.05084,14.11406,false,true,23.48,true,0.691,0.932,false,false,false,208.0442,-26.8248,0.0383,168.3,0.223,37.5,21.133,15.917,57.986,6.942,5.231,18.745,0.188,31.6,16.405,12.389,44.97,4.818,3.607,12.981,22.956,13.234,60.066,-1.0,2.88,-1.0,2.33,0.65,5.63,5.69,3.4,9.4,0.004,0.002,0.011,565.0,476.0,668.0,
1eRASS J135232.2-092312,208.1343,-9.38682,7.33,208.1293,-9.38343,208.1293,-9.38343,15.461,0.19876,0.00487,photo_z,0.19876,,,none,,,0,,,,,nan,24.14,2.35,23.85,2.33,1.03088,0.032,legacy_dr10_grz_z_v0.9,41.7485,0.0285,4.0733,false,true,23.63,true,0.637,0.853,false,false,false,208.1331,-9.3852,0.0102,149.5,0.298,44.5,25.054,16.923,33.704,34.183,23.432,45.748,0.25,37.3,19.601,13.383,26.435,24.515,16.8,33.045,53.043,35.916,73.627,1.24,0.48,1.72,96.68,63.22,122.91,14.53,10.34,20.05,0.064,0.039,0.101,748.0,668.0,833.0,
1eRASS J135326.5+000255,208.3608,0.04867,4.11,208.3594,0.04664,208.3594,0.04664,14.662,0.11471,5.7E-4,spec_z_boot,0.10707,0.118,,CODEX,0.11471,5.7E-4,8,0.11611,309.16,60.5,0.0,gapper,13.57,1.95,13.44,1.95,1.05853,0.052,legacy_dr10_grz_z_v0.9,26.5683,0.02552,32.8333,false,true,23.21,true,0.566,0.75,false,false,false,208.3628,0.0484,9.0E-4,138.1,1.467,202.7,133.987,119.957,149.585,51.686,46.16,57.708,1.197,165.4,100.903,90.11,112.61,35.248,31.627,39.625,86.436,75.991,100.967,1.81,1.47,2.66,150.88,124.32,173.83,27.15,23.9,30.2,0.056,0.045,0.068,949.0,910.0,983.0,CODEX_58008
1eRASS J135341.4+070326,208.4227,7.05749,13.91,208.424,7.05353,208.424,7.05353,15.069,0.14596,0.00121,spec_z_boot,0.14898,,,none,0.14596,0.00121,5,,495.11,165.27,0.0,gapper,15.73,1.64,16.3,1.67,1.01479,0.015,legacy_dr10_grz_z_v0.9,25.3212,0.01823,28.80284,false,true,23.61,true,0.858,1.112,false,false,false,208.4243,7.0573,0.0097,147.5,0.428,63.2,40.877,32.797,50.757,24.046,19.104,29.997,0.345,50.9,30.044,24.065,37.182,16.59,13.306,20.709,68.382,46.254,107.816,-1.0,2.37,-1.0,81.46,60.78,100.59,13.46,10.78,17.27,0.058,0.041,0.081,743.0,690.0,808.0,
1eRASS J135418.7-372508,208.5782,-37.41895,25.15,208.5724,-37.41837,208.5724,-37.41837,15.775,0.17914,0.00457,photo_z,0.17914,,,none,,,0,,,,,nan,25.24,2.33,25.53,2.33,1.04328,0.044,legacy_dr10_grz_z_v0.9,54.3783,0.05653,18.97184,false,true,23.25,true,0.688,0.928,false,false,false,208.5751,-37.4201,6.0E-4,171.3,0.41,70.2,35.89,29.069,43.898,37.08,30.131,46.182,0.35,60.0,29.063,23.615,35.974,25.84,20.953,32.577,60.3,48.241,75.678,1.41,1.04,2.07,109.33,77.95,137.45,17.74,15.11,21.56,0.06,0.04,0.08,806.0,763.0,860.0,
