CLS_ID,PID,NAME,RA,DEC,RA_d,DEC_d,EPOC,STATUS,Failed,,,,,available
A2717,SPLUS,SPLUS-s27s01,0:00:04,-34:52:18,0.01666666667,-34.87166667,2000,1,-,galaxies,5,1,36,False 
A2717,SPLUS,SPLUS-s27s02,0:06:35,-34:52:18,1.645833333,-34.87166667,2000,6,-,ToBeDef,1,1,35,False 
A2717,SPLUS,SPLUS-s27s03,0:13:09,-34:52:18,3.2875,-34.87166667,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A2717,SPLUS,SPLUS-s27s04,0:19:44,-34:52:18,4.933333333,-34.87166667,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A2717,SPLUS,SPLUS-s28s01,0:00:04,-36:11:28,0.01666666667,-36.19111111,2000,4,-,ToBeDef,1,1,36,False 
A2717,SPLUS,SPLUS-s28s02,0:06:40,-36:11:28,1.666666667,-36.19111111,2000,1,-,galaxy ,,,,
A2717,SPLUS,SPLUS-s28s03,0:13:20,-36:11:28,3.333333333,-36.19111111,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A2717,SPLUS,SPLUS-s29s01,0:00:04,-37:30:31,0.01666666667,-37.50861111,2000,1,-,ToBeDef,3,1,36,False 
A2717,SPLUS,SPLUS-s29s02,0:06:48,-37:30:31,1.7,-37.50861111,2000,1,-,galaxies,4,1,36,False 
A2717,SPLUS,SPLUS-s29s03,0:13:35,-37:30:31,3.395833333,-37.50861111,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A2717,SPLUS,SPLUS-s30s02,0:06:53,-38:49:26,1.720833333,-38.82388889,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A2717,SPLUS,SPLUS-s30s03,0:13:47,-38:49:26,3.445833333,-38.82388889,2000,1,-,galaxies,7,1,36,False 
A2734,SPLUS,SPLUS-s21s02,0:06:03,-26:55:02,1.5125,-26.91722222,2000,1,-,ToBeDef,1,1,36,False 
A2734,SPLUS,SPLUS-s21s03,0:12:06,-26:55:02,3025,-26.91722222,2000,6,-,ToBeDef,2,1,35,False 
A2734,SPLUS,SPLUS-s21s04,0:18:09,-26:55:02,4.5375,-26.91722222,2000,6,-,ToBeDef,1,1,35,False 
A2734,SPLUS,SPLUS-s22s02,0:06:08,-28:14:50,1.533333333,-28.24722222,2000,6,-,galaxy ,,,,
A2734,SPLUS,SPLUS-s22s03,0:12:15,-28:14:50,3.0625,-28.24722222,2000,6,-,ToBeDef,4,1,35,False 
A2734,SPLUS,SPLUS-s22s04,0:18:23,-28:14:50,4.595833333,-28.24722222,2000,6,-,ToBeDef,1,1,35,False 
A2870,SPLUS,SPLUS-s32s14,1:33:08,-41:26:57,23.28333333,-41.44916667,2000,6,-,galaxies,6,1,36,False 
A2870,SPLUS,SPLUS-s34s10,1:07:09,-44:03:55,16.7875,-44.06527778,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A2870,SPLUS,SPLUS-s34s11,1:14:37,-44:03:55,18.65416667,-44.06527778,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A2870,SPLUS,SPLUS-s35s09,1:00:57,-45:22:11,15.2375,-45.36972222,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A2870,SPLUS,SPLUS-s35s10,1:08:34,-45:22:11,17.14166667,-45.36972222,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A2870,SPLUS,SPLUS-s35s11,1:16:11,-45:22:11,19.04583333,-45.36972222,2000,1,R,ToBeDef,0,-5,0,False 
A2870,SPLUS,SPLUS-s36s09,1:02:37,-46:40:19,15.65416667,-46.67194444,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A2870,SPLUS,SPLUS-s36s10,1:10:26,-46:40:19,17.60833333,-46.67194444,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A2870,SPLUS,SPLUS-s36s11,1:18:16,-46:40:19,19.56666667,-46.67194444,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A2870,SPLUS,SPLUS-s37s09,1:04:00,-47:58:16,16.0,-47.97111111,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A2870,SPLUS,SPLUS-s37s10,1:12:00,-47:58:16,18.0,-47.97111111,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A3223,SPLUS,SPLUS-s25s41,4:14:52,-32:13:38,63.71666667,-32.22722222,2000,1,-,galaxies,6,1,70,False 
A3301,SPLUS,SPLUS-s30s44,4:56:16,-38:49:26,74.06666667,-38.82388889,2000,1,-,ToBeDef,1,1,36,False 
A3301,SPLUS,SPLUS-s31s43,4:55:01,-40:08:16,73.75416667,-40.13777778,2000,6,U ,,,,,
A3565,SPLUS,SPLUS-n18s29,12:46:50,-22:55:02,191.7083333,-22.91722222,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n18s30,12:52:41,-22:55:02,193.1708333,-22.91722222,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n18s31,12:58:32,-22:55:02,194.6333333,-22.91722222,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n18s34,13:16:06,-22:55:02,199025,-22.91722222,2000,1,-,ToBeDef,1,1,35,False 
A3565,SPLUS,SPLUS-n18s35,13:21:57,-22:55:02,200.4875,-22.91722222,2000,1,-,galaxies,4,1,36,False 
A3565,SPLUS,SPLUS-n18s36,13:27:48,-22:55:02,201.95,-22.91722222,2000,1,-,ToBeDef,1,1,35,False 
A3565,SPLUS,SPLUS-n18s37,13:33:40,-22:55:02,203.4166667,-22.91722222,2000,1,-,galaxies,5,1,36,False 
A3565,SPLUS,SPLUS-n18s38,13:39:31,-22:55:02,204.8791667,-22.91722222,2000,1,-,ToBeDef,1,1,35,False 
A3565,SPLUS,SPLUS-n18s39,13:45:22,-22:55:02,206.3416667,-22.91722222,2000,1,-,ToBeDef,2,1,36,False 
A3565,SPLUS,SPLUS-n18s40,13:51:13,-22:55:02,207.8041667,-22.91722222,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n18s41,13:57:04,-22:55:02,209.2666667,-22.91722222,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n18s42,14:02:56,-22:55:02,210.7333333,-22.91722222,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n18s43,14:08:47,-22:55:02,212.1958333,-22.91722222,2000,4,ToBeDef,6,0,-5,0,False 
A3565,SPLUS,SPLUS-n18s44,14:14:38,-22:55:02,213.6583333,-22.91722222,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n18s45,14:20:29,-22:55:02,215.1208333,-22.91722222,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n18s46,14:26:20,-22:55:02,216.5833333,-22.91722222,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n19s19,12:46:12,-24:15:13,191.55,-24.25361111,2000,1,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n19s20,12:52:06,-24:15:13,193025,-24.25361111,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n19s21,12:58:00,-24:15:13,194.5,-24.25361111,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
A3565,SPLUS,SPLUS-n19s24,13:15:42,-24:15:13,198925,-24.25361111,2000,1,-,ToBeDef,1,1,35,False 
