name,ra,dec,field,z
"WHLJ004252+004306",10.720238767022572,0.7157136334356106,"STRIPE82-0018",0.2697
"WHLJ004252+004306",10.717169915364455,0.7245800499517829,"STRIPE82-0018",0.2697
"WHLJ004335+010111",10.901423881745583,1.0224395625182279,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.89638803476304,1.0123971476631943,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.900311485475912,1.0142908534943806,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.89688223893662,1.0136487782092893,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.899323047145435,1.0148639076027206,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.892357967925568,1.0152511308341325,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.901221890634261,1.0156987114797889,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.897294732805292,1.011651443918185,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.898546597406241,1.0150596205599614,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.897869405174266,1.016765947852553,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.888189083976352,1.017899005508495,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.892364879257814,1.0130375206755955,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.897156695967288,1.0192662444736813,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.89621199918351,1.018151171997335,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.900731638119762,1.0187734072731571,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.89004725709095,1.0235751602573584,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.892542933849281,1.020016240935947,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.900129949289331,1.0245921532980045,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.894194906520848,1.022055046875373,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.896039173333607,1.0197232386063053,"STRIPE82-0018",0.1952
"WHLJ004335+010111",10.898690527861039,1.0191342974679067,"STRIPE82-0018",0.1952
"WHLJ004350+004718",10.961178127157273,0.792000305165709,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.952361989543649,0.7923110007817507,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.958984603012517,0.7926859689174622,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.959613589716945,0.7937791774531494,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.962180617541812,0.7945176518170134,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.955130694162879,0.7928378307552173,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.958634897386862,0.7943964776680535,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.956273671921595,0.7947744761567518,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.960373562536256,0.7824208824200716,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.956588307273279,0.7831222133444297,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.958465597431658,0.7833610390601503,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.96584487498624,0.7863200234795323,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.960953740545417,0.7863965136195358,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.952630241426117,0.785885247343324,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.963052854406639,0.7883096348329444,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.956883715033534,0.7873588591607509,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.9540347068127,0.7887329508052531,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.95293132273257,0.7884446640366141,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.952566643333128,0.7894532034419902,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.95935987888424,0.7902178331613953,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.952887909407568,0.790954697939943,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.95796599886093,0.7902694729344101,"STRIPE82-0018",0.4758
"WHLJ004350+004718",10.958275566916264,0.7883434887294418,"STRIPE82-0018",0.4758
"ACTCLJ0044.4+0113",11.108693470409815,1.22119280675049,"STRIPE82-0018",1.11
"ACTCLJ0044.4+0113",11.106015793271549,1.2200324465775167,"STRIPE82-0018",1.11
"ACTCLJ0044.4+0113",11.107774269000474,1.2191552184636976,"STRIPE82-0018",1.11
"ACTCLJ0044.4+0113",11.110397911649734,1.209593875770693,"STRIPE82-0018",1.11
"ACTCLJ0044.4+0113",11.106457247538698,1.2124448199120201,"STRIPE82-0018",1.11
"ACTCLJ0044.4+0113",11.10781376473756,1.2063734949439955,"STRIPE82-0018",1.11
"AS84",12.345391410074948,-29.530668267835214,"SPLUS-s23s09",0.108
"AS84",12.341213980301774,-29.52756448520813,"SPLUS-s23s09",0.108
"AS84",12.34560423632411,-29.527654463430746,"SPLUS-s23s09",0.108
"AS84",12.341420604583076,-29.525950765270462,"SPLUS-s23s09",0.108
"AS84",12.346465696711475,-29.51999662806141,"SPLUS-s23s09",0.108
"AS84",12.358021036632563,-29.521575103106105,"SPLUS-s23s09",0.108
"AS84",12.353283316539862,-29.516664235282853,"SPLUS-s23s09",0.108
"AS84",12.351005683252632,-29.52035215193347,"SPLUS-s23s09",0.108
"AS84",12.345215148010848,-29.52022650923473,"SPLUS-s23s09",0.108
"AS84",12.352858471591583,-29.52675912835184,"SPLUS-s23s09",0.108
"AS84",12.345563327538905,-29.524962933221573,"SPLUS-s23s09",0.108
"AS84",12.349364538225851,-29.52043994993856,"SPLUS-s23s09",0.108
"AS84",12.345061504966138,-29.51868582833489,"SPLUS-s23s09",0.108
"AS84",12.340958472248872,-29.52301309036173,"SPLUS-s23s09",0.108
"AS84",12.348695663428382,-29.528628011483594,"SPLUS-s23s09",0.108
"AS84",12.354468730541027,-29.523248280647167,"SPLUS-s23s09",0.108
"WHYJ005305-704737",13.27108900853508,-70.8005943252159,"MC0071",0.2645
"WHYJ005305-704737",13.264501600625692,-70.80097848308438,"MC0071",0.2645
"WHYJ005305-704737",13.272932000665362,-70.79869159473489,"MC0071",0.2645
"WHYJ005305-704737",13.278575940444993,-70.7982250350232,"MC0071",0.2645
"WHYJ005305-704737",13.282184044295871,-70.79659729860164,"MC0071",0.2645
"WHYJ005305-704737",13.265532721331645,-70.79643922366427,"MC0071",0.2645
"WHYJ005305-704737",13.288120127203435,-70.79584133774064,"MC0071",0.2645
"WHYJ005305-704737",13.265487008624174,-70.79484244910358,"MC0071",0.2645
"WHYJ005305-704737",13.25590612863082,-70.79408566408395,"MC0071",0.2645
"WHYJ005305-704737",13.263022664340026,-70.79261738457514,"MC0071",0.2645
"WHYJ005305-704737",13.258874461775264,-70.79254267481727,"MC0071",0.2645
"WHYJ005305-704737",13.277989061237623,-70.79157375266558,"MC0071",0.2645
"WHYJ005305-704737",13.275638864475429,-70.79024833678942,"MC0071",0.2645
"WHYJ005305-704737",13.271716783229719,-70.7936566006453,"MC0071",0.2645
"WHYJ005305-704737",13.252627859215496,-70.78950746271963,"MC0071",0.2645
"WHYJ005305-704737",13.280486525623528,-70.78926682346116,"MC0071",0.2645
"WHYJ005305-704737",13.256275684131065,-70.78715943785144,"MC0071",0.2645
"WHYJ005305-704737",13.267142513152647,-70.78667165870299,"MC0071",0.2645
"WHYJ005305-704737",13.269446952879486,-70.78581225078908,"MC0071",0.2645
"ESO351-021",13.74958505989797,-35.32152565268122,"SPLUS-s27s09",0.0571
"A0119",14.075486008623406,-1.2224055687607738,"STRIPE82-0021",0.0442
"A0119",14.069628225395723,-1.220952079912095,"STRIPE82-0021",0.0442
"A0119",14.069225147843888,-1.218415364218342,"STRIPE82-0021",0.0442
"A0119",14.076731449320434,-1.2204152791563736,"STRIPE82-0021",0.0442
"A0119",14.074653268099425,-1.2166588552182318,"STRIPE82-0021",0.0442
"A0119",14.077328761370488,-1.2165051606714754,"STRIPE82-0021",0.0442
"A0119",14.075384709640657,-1.2152894599589221,"STRIPE82-0021",0.0442
"A0119",14.077571825227414,-1.218617020440656,"STRIPE82-0021",0.0442
"A0119",14.074700226030268,-1.2133141348779146,"STRIPE82-0021",0.0442
"A0119",14.078250283411268,-1.2097266524401935,"STRIPE82-0021",0.0442
"A0119",14.07659656672302,-1.212111520116741,"STRIPE82-0021",0.0442
"MCXCJ0056.9-2740",14.237090601779657,-27.66710440662466,"SPLUS-s22s10",0.56
"MCXCJ0056.9-2740",14.245728406802005,-27.67217674379621,"SPLUS-s22s10",0.56
"MCXCJ0056.9-2740",14.228032822764485,-27.674366473244326,"SPLUS-s22s10",0.56
"MCXCJ0056.9-2740",14.233105693896329,-27.674231927517205,"SPLUS-s22s10",0.56
"MCXCJ0056.9-2740",14.245579522518295,-27.67439252029225,"SPLUS-s22s10",0.56
"MCXCJ0056.9-2740",14.237403050935761,-27.67498353693377,"SPLUS-s22s10",0.56
"MCXCJ0056.9-2740",14.237130893838234,-27.677897211478065,"SPLUS-s22s10",0.56
"MCXCJ0056.9-2740",14.242878936307516,-27.679847111004598,"SPLUS-s22s10",0.56
