name,clsid,z_cluster,R200_Mpc,peak_spec_m,peak_spec_m_density,peak_photo_m,peak_photo_m_density,z_offset_m,peak_spec_mi,peak_spec_mi_density,peak_photo_mi,peak_photo_mi_density,z_offset_mi,rmse_base_m,rmse_base_mi,rmse_om_m,rmse_om_mi,rel_om_m,rel_om_mi,rmse_omi_m,rmse_omi_mi,rel_omi_m,rel_omi_mi
A2717,13,0.049,1.176927,0.04937442211055276,60.77837630147106,0.055886880633165825,8.761893236525102,0.006512458522613063,0.04947481909547739,44.52492740666158,0.05617618426130653,13.413339794062455,0.006701365165829136,0.01114735298909445,0.011224805742147488,0.011746056680235532,0.012886717922367749,0.053708148627463356,0.14805709946320278,0.011816656044248763,0.012980592283673166,0.060041433675698426,0.15642021624774832
A133,14,0.0566,1.317141,0.05601486432160804,8.86634228967338,0.05746621341708543,3.088587581112949,0.0014513490954773875,0.055724869346733666,10.03807592749738,0.058313403175879394,6.611383100848135,0.0025885338291457283,0.004959877980259716,0.005899433067276956,0.005183766042202813,0.00614017771134795,0.04513983263986933,0.040808098223261466,0.005620899793820884,0.006551067197461948,0.13327380556377216,0.11045707659596714
A2734,15,0.0625,1.268386,0.062164371859296484,40.66690085539478,0.06102881806030151,11.156384815067844,-0.0011355537989949718,0.06180906030150754,32.93119848545792,0.06032796733668342,14.879943190976643,-0.0014810929648241197,0.010072040626942102,0.01151166685952958,0.009773831991734275,0.011216333879555482,-0.02960756873936118,-0.025655101348734298,0.009707662298979312,0.011147888504673145,-0.03617720990800008,-0.03160084106805886
A957,16,0.044159,1.329625,0.04473372545728643,83.0839817931045,0.04758854917085427,22.51128907153297,0.002854823713567836,0.045303991522613066,62.879421432921504,0.04818725688442212,32.44174540937257,0.002883265361809051,0.010181852573897254,0.010336491902093575,0.009613532702076396,0.01026313441589825,-0.05581694173001811,-0.007096942259536519,0.00961196830850602,0.010266395565650397,-0.05597058700812666,-0.006781443560070904
A2877,17,0.023874,1.433975,0.02317774874371859,29.309968603797618,0.024977643608040202,12.978381574295168,0.0017998948643216106,0.0231558391959799,26.571909437638634,0.025388063266331657,16.30210481943713,0.002232224070351757,0.005637742142334634,0.005804081220540876,0.0051831459816067725,0.0053088621688252464,-0.08063443649084835,-0.08532255716254104,0.0051622182280986455,0.005275148106988392,-0.08434651713940754,-0.09113123911508496
A151,18,0.0533,1.436321,0.05247075879396985,7.863153708251034,0.05492831316582915,2.1696200465752526,0.002457554371859301,0.04148653266331658,7.652237121449807,0.042019073819095476,4.30479562732902,0.0005325411557788942,0.010271297019884537,0.010885789337110872,0.010835973991633815,0.010937526299742525,0.05497620900808358,0.004752706581899051,0.010346842161935333,0.010849881365644671,0.007354975900759754,-0.003298609807171865
A954,19,0.094641,1.459459,0.09559728874371859,62.92969985247454,0.10630048608040202,5.813541260512445,0.010703197336683429,0.0956565099396985,44.46788269122644,0.0932790517839196,9.272751184698143,-0.0023774581557789026,0.014991906123305391,0.015498898036268622,0.015133432089219448,0.015577266281655483,0.009440158226047752,0.0050563753115526605,0.015965867414187675,0.01645519946002955,0.06496580774130052,0.061701252664744785
A4059,20,0.0487,1.577108,0.049166648241206035,77.92884202426188,0.054791609804020106,11.618725384615955,0.005624961562814071,0.049081457286432165,61.36927631484038,0.05628632817085427,27.881322127199006,0.007204870884422107,0.011197100478673137,0.011421557140177136,0.01186485157740156,0.01357956710008562,0.05963607274939372,0.1889418345872772,0.012509321155564024,0.014523829593647274,0.11719290001820054,0.2716155437823275
A2415,21,0.0581,1.373753,0.05716361809045226,50.82907802788734,0.058602189462311556,13.197483258853433,0.001438571371859293,0.057178118628140706,42.542150203277664,0.058562812547738693,14.057057565456022,0.0013846939195979874,0.010043864311863411,0.010643436627477656,0.010216679809111973,0.010842890312605775,0.01720607645450156,0.018739594372479233,0.010206606209570349,0.010832043424951811,0.016203115917716383,0.017720479209434863
A3809,22,0.0623,1.106775,0.06236072864321608,43.061145557988105,0.06020951423618091,12.026032775331723,-0.002151214407035175,0.062395829145728644,31.28756759375139,0.06035626979899498,14.090553553462756,-0.002039559346733666,0.00930413734738115,0.010729960740075468,0.009385353982800864,0.010698419428778643,0.00872908818812459,-0.0029395551447845085,0.009369010535420266,0.01068941212100659,0.006972509714441769,-0.003779009080381052
