name,clsid,z_cluster,R200_Mpc,peak_spec_m,peak_spec_m_density,peak_photo_m,peak_photo_m_density,z_offset_m,peak_spec_mi,peak_spec_mi_density,peak_photo_mi,peak_photo_mi_density,z_offset_mi,rmse_base_m,rmse_base_mi,rmse_om_m,rmse_om_mi,rel_om_m,rel_om_mi,rmse_omi_m,rmse_omi_mi,rel_omi_m,rel_omi_mi,ra,dec
A4038,7,0.029165,1.528774,0.0291688542713567,13.465038399284731,0.0307797145929648,4.638320239000408,0.001610860321608,0.0288364572864321,21.467999376405853,0.0319364172110552,11.347869649189224,0.0030999599246231,0.0048959764429872,0.0063189529523109,0.0046684774348237,0.0061655437048329,-0.0464665242598,-0.0242776372344869,0.0049395746534321,0.0063921521262857,0.0089049060902573,0.0115840669375598,0,0
A3744,3,0.03749,0.622722,0.0377181507537688,15.40610390835372,0.041443545603015,4.18972271597425,0.0037253948492462,0.0377942864321608,8.882105587669566,0.0403182249195979,5.165795563329242,0.0025239384874371,0.0038107714135137,0.0046309344945879,0.0040239460972989,0.0053816370571587,0.0559400343534686,0.1621060637865156,0.0035526194741887,0.0048482494540319,-0.0677426986067803,0.0469268048809642,0,0
A3733,25,0.0382,1.151287,0.0371602311557789,9.099210033039292,0.0385363561708542,5.264044254582739,0.0013761250150753,0.0383943567839196,11.633794956224513,0.03822479840201,7.919915648903645,-0.0001695583819095,0.0047947062698566,0.0050095583503609,0.0051196810167897,0.0053747331490855,0.0677778217564955,0.0728956073938693,0.0047806175602437,0.0049890399364078,-0.002938388468443,-0.004095852871258,0,0
WBL288,67,0.03899,0.574498,0.0389410201005025,17.976249233696745,0.0381483957487437,3.031408288238455,-0.0007926243517587,0.0390697989949748,7.658953379816205,0.0379904614874371,3.2185383281369697,-0.0010793375075376,0.0066719228626554,0.0074919240028297,0.0067942068813353,0.0075594283964492,0.0183281523478456,0.0090102880907461,0.0068604926609044,0.0076040741511097,0.0282631862104457,0.0149694722260451,0,0
A119,40,0.0442,1.718391,0.0439502261306532,73.04521563084273,0.0453563732160803,18.5845050608336,0.0014061470854271,0.0439376231155778,60.68772252199169,0.0462198741809045,24.42193258841873,0.0022822510653266,0.0094072079035754,0.0090809923228769,0.0090668282229272,0.0089161213104187,-0.0361828593709315,-0.0181556163243127,0.008960412412217,0.0089245719516585,-0.0474950161554933,-0.0172250306636941,0,0
A957,16,0.044279,1.436311,0.0447268994974874,29.46204276376903,0.0473978029698492,8.003337059620304,0.0026709034723618,0.0451627386934673,24.20977659570962,0.0475567610050251,13.655434261330493,0.0023940223115577,0.0088373499595448,0.0087611899154375,0.0082266809827894,0.0088401204827904,-0.0691009159477476,0.009009114984924,0.0082520098402054,0.0087943646501688,-0.0662348013849094,0.0037865558276398,0,0
A168,37,0.044596,0.940114,0.0447893919597989,78.24848104977538,0.0468503733668341,12.536406601223376,0.0020609814070351,0.0448543467336683,48.82501644479301,0.0469378496381909,15.501513108138296,0.0020835029045226,0.0091018292237632,0.0090476998947744,0.0088559046344445,0.0090279962815828,-0.0270192489084034,-0.0021777483140206,0.0088558292487114,0.0090303792026683,-0.0270275313900073,-0.001914375179053,0,0
MS0116.3-0115,38,0.0452,0.989478,0.0449740603015075,11.495140671704268,0.0472338191859296,2.9865587374214693,0.0022597588844221,0.0454231256281407,20.293560806148367,0.0487579718291457,8.550152419523274,0.003334846201005,0.0090000785095179,0.0088075801636286,0.0086008990603068,0.0092068716796926,-0.0443528852319436,0.0453349851657134,0.0086149926660411,0.0095798662600694,-0.0427869426994029,0.0876842540281379,0,0
A1631,63,0.046426,1.323191,0.0453615929648241,54.81697872726368,0.0462073628894472,17.944645310582825,0.0008457699246231,0.0458013316582914,54.4962546903036,0.0460248175879397,21.000725684823248,0.0002234859296482,0.0086390063118161,0.0086672785623909,0.0086849982140567,0.0087513224319601,0.0053237491188831,0.0096966849472005,0.0086431414971877,0.0086815593868872,0.0004786644693025,0.0016476711107769,0,0
A1644,27,0.047448,1.96193,0.0458396281407035,87.84653836628418,0.0460905559899497,28.165061152212346,0.0002509278492462,0.0458983668341708,77.66458403806742,0.0457978680552763,30.186337699953985,-0.0001004987788944,0.0086570739363803,0.0085564624756415,0.0086745045744149,0.0085815927359307,0.0020134560664106,0.0029369918188468,0.0086521242032925,0.0085484428671705,-0.0005717558986038,-0.0009372574815556,0,0
A4059,20,0.049334,1.522916,0.0491336180904522,23.95297752832049,0.0535337901306532,4.46321787036216,0.004400172040201,0.0493051758793969,33.35079746594635,0.0531184471859296,11.619105584363112,0.0038132713065326,0.0119502347686095,0.0109155332219484,0.0119538119823671,0.0116671281041534,0.0002993425507419,0.0688555352196364,0.0118593508996654,0.0114725752870833,-0.0076051952705392,0.0510320525629354,0,0
A2717,13,0.049507,1.039118,0.0494678894472361,16.674216521537428,0.0527562296482412,2.277068691940991,0.003288340201005,0.0493947035175879,18.50884153199392,0.0528820614572864,4.465765600344941,0.0034873579396984,0.0108164883280949,0.0114134032209076,0.0113091257892299,0.0119605954383943,0.0455450462471718,0.0479429497841967,0.0113688195972947,0.0120218123891774,0.0510638251940995,0.0533065516475663,0,0
MCXCJ0413.9-3805,49,0.0501,0.561454,0.0507578894472361,12.066157563925447,0.0554512333115577,1.6932864987962344,0.0046933438643216,0.0505452512562814,7.72775009303569,0.0575792198944723,3.539934469291443,0.0070339686381909,0.0098393528927231,0.0096338718785444,0.0087247179302762,0.0090505399571063,-0.1132833606640163,-0.0605501016405724,0.0090700145493728,0.0096405700545639,-0.0781899329903352,0.000695273520748,0,0
[YMV2007]841,93,0.050685,0.615009,0.0504388140703517,14.419978660394744,0.0514472337185929,1.9502110291679828,0.0010084196482412,0.0659308994974874,8.191269551732152,0.0595186099748743,5.842574699265563,-0.006412289522613,0.007239258552433,0.0087655143348907,0.0071320915094893,0.0091324831795101,-0.014803593788987,0.0418650669657349,0.010477782957785,0.0090914054285671,0.4473558143967166,0.03717877596517,0,0
RXJ2137.1+0026,4,0.051,0.686561,0.0508031055276381,20.20188857531211,0.0557413579899497,1.92934372483634,0.0049382524623115,0.050911728643216,6.938513260369931,0.0581692113165829,4.740778767753049,0.0072574826733668,0.010999826556455,0.0105818116462961,0.010982091997914,0.012247342583534,-0.0016122580160622,0.1573956325163721,0.0117155892352089,0.0135899360742428,0.0650703604352677,0.2842731026118431,0,0
