id,CLS_ID,PID,NAME,RA,DEC,RA_d,DEC_d,EPOC,STATUS,Failed 
60,A0957,SPLUS,SPLUS-n03s01,10:03:10,-2:43:02,150.7916667,-2.717222222,2000,1,-,galaxies,4,1,35,False 
61,A0957,SPLUS,SPLUS-n03s02,10:08:36,-2:43:02,152.15,-2.717222222,2000,6,-,ToBeDef,3,1,0,False 
62,A0957,SPLUS,SPLUS-n03s03,10:14:02,-2:43:02,153.5083333,-2.717222222,2000,6,ToBeDef,ToBeDef,0,0,0,False 
63,A0957,SPLUS,SPLUS-n03s04,10:19:28,-2:43:02,154.8666667,-2.717222222,2000,1,ToBeDef,ToBeDef,0,0,0,False 
64,A0957,SPLUS,SPLUS-n03s05,10:24:54,-2:43:02,156.225,-2.717222222,2000,2,ToBeDef,defocused?,0,0,0,False 
65,A0970,SPLUS,SPLUS-n07s05,10:24:11,-8:08:06,156.0458333,-8.135,2000,1,-,ToBeDef,1,1,36,False 
66,A0970,SPLUS,SPLUS-n08s05,10:26:34,-9:29:10,156.6416667,-9.486111111,2000,1,-,ToBeDef,1,1,36,False 
67,A0970,SPLUS,SPLUS-n09s06,10:28:58,-10:50:08,157.2416667,-10.83555556,2000,1,-,ToBeDef,3,1,35,False 
68,A1069,SPLUS,SPLUS-n06s07,10:32:44,-6:46:57,158.1833333,-6.7825,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
69,A1069,SPLUS,SPLUS-n06s08,10:38:11,-6:46:57,159.5458333,-6.7825,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
70,A1069,SPLUS,SPLUS-n06s09,10:43:38,-6:46:57,160.9083333,-6.7825,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
71,A1069,SPLUS,SPLUS-n07s07,10:35:08,-8:08:06,158.7833333,-8.135,2000,6,-,ToBeDef,3,1,0,False 
72,A1069,SPLUS,SPLUS-n07s08,10:40:37,-8:08:06,160.1541667,-8.135,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
73,A1069,SPLUS,SPLUS-n07s09,10:46:05,-8:08:06,161.5208333,-8.135,2000,6,ToBeDef,ToBeDef,0,-5,0,False 
