name ra dec z
WHLJ032551+405825 51.46453 40.97372 0.2734
MACSJ0326.8-0043 51.70833 -0.73083 0.4450
WHLJ032727.5-132630 51.86454 -13.44159 0.5640
3C88 51.97708 2.56306 0.0302
CL0328-2140 52.15042 -21.66778 0.5900
A3126 52.15625 -55.71278 0.0856
RXJ0329.0+0256 52.26172 2.94182 0.4122
SPTCLJ0329-2330 52.31750 -23.50306 1.2270
MACS0329.7-0212 52.42292 -2.19611 0.4500
A3128 52.47917 -52.56667 0.0599
ACTCL0330-5228 52.66667 -52.48056 0.4400
RXCJ0331.1-2100 52.78167 -21.00417 0.1880
WHYJ033127-281811 52.86248 -28.30309 0.2570
CL0333-2456 53.29250 -24.94472 0.4750
A3135 53.50935 -39.00015 0.0642
SPTCLJ0334-4659 53.54708 -46.99611 0.4861
RXJ0334.2-0111 53.56917 -1.18778 0.1519
RXCJ0334-5342 53.73417 -53.70222 0.0630
PSZ1G193.29-46.13 53.96417 -6.97578 0.6500
A3140 54.07792 -40.62222 0.0620
MCXCJ0336.8-2804 54.20583 -28.08139 0.1050
RXJ0337-3457 54.35292 -34.95806 0.8400
MCXCJ0337.7-2522 54.43812 -25.37669 0.5850
ZGXJ033748-230400 54.44937 -23.06672 0.6426
A447 54.49500 -5.12028 0.1123
Fornax 54.61625 -35.44833 0.0046
PSZ2G176.27-35.04 54.68472 9.97118 0.0347
A3151 55.11549 -28.70637 0.0676
RXCJ0340.6-0239 55.17417 -2.66583 0.0360
RXCJ0340-4542 55.20625 -45.67778 0.0698
CL0340-2823 55.21500 -28.38611 0.3460
RBS461 55.32042 15.40750 0.0290
WHYJ034138-531028 55.40631 -53.17435 0.0852
WHYJ034152-011652 55.46401 -1.28134 0.1213
ACTCLJ0342.0+0105 55.50875 1.08542 1.0700
A3158 55.72458 -53.63528 0.0597
SPTCLJ0343-5518 55.76340 -55.30490 0.4900
SPTCLJ0344-5452 56.09260 -54.87260 1.0100
ZGXJ034501-411320 56.25456 -41.22211 0.4664
AS384 56.44042 -41.20750 0.0500
A458 56.48333 -24.28028 0.1057
ACTJ0346-5438 56.71250 -54.64833 0.5500
SPTCLJ0348-4514 57.07583 -45.24528 0.3251
CL0350-3801 57.68292 -38.02361 0.3630
AS405 57.78708 -82.21667 0.0613
RXJ0351.6-3649 57.90750 -36.83056 0.3720
RBS485 58.08625 -54.88583 0.0444
A3186 58.12292 -74.03083 0.1273
SPTCLJ0352-5647 58.23667 -56.79917 0.6600
RXCJ0352.9+1941 58.24542 19.68306 0.1090
SPTCLJ0354-5904 58.56110 -59.07410 0.4100
CL0355-3741 58.99708 -37.69611 0.4730
XCLASS408 59.35400 1.30000 0.1300
XCSJ0357.7+0101 59.43583 1.02692 0.3600
WHLJ035818+124006 59.57506 12.66846 0.2132
MACSJ0358.8-2955 59.72667 -29.92556 0.4250
G189.84-37.24 60.00051 0.19215 9.9999
4C+34.16 60.22858 34.71942 0.0780
PSZ2G208.57-44.31 60.64750 -15.68194 0.8500
SPTCLJ0403-5719 60.96700 -57.32410 0.4300
A3213 61.07833 -27.05139 0.2502
MACSJ0404.6+1109 61.13667 11.13417 0.3580
WHYJ040527-371715 61.27918 -37.28793 0.0960
CL0405-4100 61.35125 -41.00417 0.6860
RXJ0405.8+3803 61.45500 38.05889 0.0550
MCXCJ0406.7-7116 61.69083 -71.27500 0.2290
SPTCLJ0406-5455 61.69220 -54.92050 0.7300
WHYJ040650-565840 61.70807 -56.97780 0.2262
SPTCLJ0406-4804 61.73083 -48.08194 0.7355
A3223 62.06750 -30.89444 0.0601
SPTCLJ0411-4819 62.81400 -48.31900 0.4200
A478 63.35667 10.46694 0.0881
RXCJ0413.9-3805 63.48792 -38.10000 0.0501
MACSJ0416.1-2403 64.04125 -24.06611 0.4200
MCXCJ0416.7-5525 64.18667 -55.41906 0.3650
WHLJ041704+011308 64.27021 1.21890 0.3032
SPTCLJ0417-4748 64.34000 -47.81194 0.6200
MACSJ0417.5-1154 64.39542 -11.90944 0.4400
NGC1550 64.90803 2.40946 0.0124
RXCJ0422.8-5130 65.67542 -51.48677 0.0428
RBS540 66.46120 -8.55690 0.0397
SPTCLJ0426-5455 66.52042 -54.92000 0.6300
AS463 67.28250 -53.84750 0.0394
MACSJ0429.6-0253 67.40000 -2.88556 0.3990
A3266 67.85042 -61.44389 0.0589
NGC1600 67.91642 -5.08625 0.0156
A496 68.41000 -13.25917 0.0330
RXJ0437.1+0043 69.28958 0.73111 0.2937
ACTJ0438-5419 69.57917 -54.31805 0.5400
A500 69.72792 -22.11361 0.0670
RXJ0439.0+0715 69.75500 7.26000 0.2300
RXJ0439+0520 69.75916 5.34528 0.2080
RXCJ0439.2-4600 69.80875 -46.01417 0.3400
PSZ1G141.73+14.22 70.25708 68.23528 0.8330
SPTCLJ0441-4854 70.45084 -48.92389 0.8100
CL0442+0202 70.59875 2.03889 1.1100
MS0440.5+0204 70.79166 2.17278 0.1880
NGC1650 71.29796 -15.87003 0.0360
SPTCLJ0446-5849 71.51583 -58.82250 1.1600
PSZ2G239.93-39.97 71.68847 -37.05839 0.5800
ZGXJ044742-201943 71.92298 -20.32854 0.3134
A514 72.05083 -20.46972 0.0713
SPTCLJ0449-4901 72.28458 -49.01944 0.7853
3C129 72.28782 45.01089 0.0208
WHYJ044929+060917 72.37205 6.15486 0.1860
A3292 72.48000 -44.67806 0.1723
PSZ2G200.95-28.16 72.58280 -3.00790 0.2200
MACSJ0451.9+0006 72.97667 0.10528 0.4300
1WGAJ0454.0-0308 73.50500 -3.14440 0.2640
PSZ2G201.50-27.31 73.53340 -3.03350 0.5377
A521 73.53792 -10.23861 0.2533
A520 73.57913 2.94689 0.1990
PSZ2G219.89-34.39 73.68290 -20.28880 0.7000
RXCJ0454.8-1806 73.70958 -18.10917 0.0335
MACSJ0455.2+0657 73.82250 6.96306 0.4250
SPTCLJ0456-5116 74.11792 -51.27806 0.5619
MCXCJ0458.9-0029 74.72958 -0.48917 0.0150
A523 74.77583 8.78028 0.1000
PSZ2G287.96-32.99 74.90740 -75.79660 0.2500
SPTCLJ0459-4947 74.92690 -49.78720 1.5493
A3301 75.19375 -38.67806 0.0536
AS506 75.26831 -24.41129 0.3200
A3307 75.91954 -29.60997 0.1540
RXJ0505.3-2849 76.33292 -28.81811 0.5090
A536 76.94041 -9.25444 0.0398
SPTCLJ0509-5342 77.33583 -53.70500 0.4626
A3322 77.55750 -45.32111 0.2000
MCXCJ0510.7-0801 77.69963 -8.02897 0.2195
SPTCLJ0511-5154 77.92000 -51.90400 0.7400
RXCJ0514.3-2227 78.59292 -22.45278 0.3574
A3330 78.66666 -49.05416 0.0921
AS520 79.12500 -54.50833 0.2952
A539 79.15542 6.43778 0.0284
MACSJ0520.7-1328 80.17500 -13.48028 0.3400
RXJ0522.2-3625 80.55917 -36.41778 0.4720
SPTCLJ0522-4818 80.56541 -48.30500 0.2960
