###################################################
# objetos de A119 e A168 inspecionados por Angela #
###################################################
ra,dec
182.47469184496265,-0.4503519633362683
182.37760220330145,-0.4406560041223895
184.98436780668183,-0.310736254134573
185.32300517568007,-0.1657198193031971
184.27535558448093,0.0107686689650565
184.59184829487435,0.0528854778249858
183.3630195153474,-0.3222532001554732
183.6266122714348,-0.1903182328539095
183.48487828501737,-0.001884906396419
183.15618231779183,0.1089015094107806
183.27594582840416,0.2140782344065503
183.4440119946925,0.2915893843572035
184.3948849359697,0.3111747150810761
184.06869798129765,0.2981193550957809
181.33922082090572,-0.8256277265666729
181.3404654679934,-0.8208619246210221
181.3386645668712,-0.8079150648942311
181.61353713360543,-0.56242170672842
181.79409601673748,-0.4962966964005265
182.46469193273288,-0.0227927566100317
181.6407822355086,-0.0520863540984786
181.62934194898745,0.1136875624072284
182.0059270463259,0.1465836721826231
181.9171754921569,0.2465627357773816
180.6766093397304,-0.5629721623287073
181.0436260087476,-0.1232308133120213
180.20197914776267,-0.0206884257897498
180.43229484557372,0.1847687570143495
181.3970498211572,0.0336664257809606
181.399787317272,0.2662327367483804
181.65102108752507,0.2902946729790573
180.97852055369404,0.5794015505907079
183.14350091854385,0.2935590357449041
182.5892652572182,0.2603513954019155
182.49310982495348,0.2749195893198524
182.23401355122863,1.1384015933898424
181.8690304184132,1.192398614055033
181.8887213113136,1.3865731720665582
182.99041578108887,1.391513264618676
182.8302806583434,1.4955603397553754
183.00786424263683,1.6567538772491153
182.7722735408136,2.0017920357148444
182.77231161219592,2.0202131567770705
182.6309442552617,2.0791789515640247
185.36162218132387,0.3480446585197046
185.95036784734685,0.5208211991070149
185.5057777901208,1.0917988320279
186.78324738369685,1.2690782072933111
186.72011557122232,1.248129083387894
185.82868715564908,1.0622202180765912
186.19270736474635,1.225776430307906
186.0157116495942,1.190723773412056
185.9070072033806,1.3919016547337604
186.1501843567883,1.6151694342994494
185.36073327062587,1.2681068513751184
184.708305225436,1.3550975363850122
184.5397701599097,1.419918903348887
184.80345985657155,1.3802528101337748
184.9789533822952,1.4029743574588316
185.8277818665363,1.4903325225083006
185.4956807746575,1.5168341573770283
185.37384123808232,1.6290896543894933
185.2561401198542,1.7568709543370515
185.41706906263488,1.8404622525925465
185.3138355797753,1.8810028495430968
185.65900471707573,1.943766450978952
185.72675700235533,2.063018664027493
185.5571593033212,2.060288267108019
187.2527289987596,1.840559468425314
187.03328094187736,2.0617734551206564
187.1957634129331,2.0636232987029426
187.9319578720529,2.0681400284109506
186.55843546528425,2.0684141935153457
184.7845422068152,1.711293966157091
184.3568022502768,1.7076405247185675
184.3946820100964,1.7509872703343896
184.0665205301792,1.9473485922162896
184.3567140984451,2.0628688681989287
184.11528386333552,2.05876745547619
185.23624129623417,2.06824488356232
183.78712326045252,2.068381887405172
174.59986175759457,-3.424994119220253
175.02034165922126,-3.278602346411585
175.05753488121476,-3.224331632758604
173.78324184698178,-3.3063060244052864
173.62084931317554,-3.278210562976193
173.49986886692963,-3.218542639874693
173.588840206838,-3.1223144979422672
174.44253280342326,-3.3038534555796053
174.44314320229608,-3.2978609051877434
173.9492024801198,-3.1987908525715154
173.98621600903303,-3.17030107914259
174.14305142785935,-3.0862223088349143
174.139463336926,-2.8875408554142328
174.3084191464975,-2.809086990629156
174.58673590402103,-2.610711236426271
175.7572126814635,-3.4247583617675224
175.4885496996369,-3.3075504294324687
175.59733735906065,-3.227326155118626
176.101838207162,-2.724368429346724
175.34481902057848,-3.110466651857358
176.38902580581492,-2.565459378835395
176.4973459872855,-2.4209339689900147
