# 1) cluster index
# 2) RA (J2000)
# 3) DEC (J2000)
# 4) z_spec
# 5) sigma_cl (km/s) [velocity dispersion]
# 6) sigma_cl lower limit
# 7) sigma_cl upper limit
# 8) R200 (Mpc)
# 9) R200 lower limit
# 10) R200 upper limit
# 11) M200 (10^14 M_solar)
# 12) M200 lower limit
# 13) M200 upper limit
# 14) Nwcls [number of galaxies in the cluster region; maximum of 10 Mpc/h]
# 15) Nmemb [number of member galaxies]
# 16) Nmemb-wR200 [number of member galaxies within R200]
# 17) cluster name
00065 201.845860 1.266550 0.080438 489.834 -33.258 54.925 0.987477 -0.061397 0.101397 1.182881 -0.220640 0.364387 784 268 23	[YMV2007]3820
00066 214.331510 2.344280 0.054757 310.000 -32.024 23.559 0.563587 -0.053316 0.039222 0.214536 -0.060886 0.044791 832 240 3	[YMV2007]49
00067 162.441345 0.351715 0.038990 264.928 -25.567 36.173 0.574498 -0.050771 0.071832 0.223880 -0.059355 0.083978 1310 223 25	WBL288
00068 150.133700 -2.957300 0.021000 119.077 -25.024 26.813 0.251109 -0.048325 0.051780 0.018386 -0.010615 0.011374 1635 12 4	MKW1
00069 214.350226 0.073392 0.052923 98.725 -15.773 17.907 0.208371 -0.030487 0.034611 0.010824 -0.004751 0.005394 1067 37 4	[YMV2007]4713
00070 204.162500 -33.971667 0.010900 226.316 -24.350 39.552 0.500705 -0.049334 0.080133 0.144418 -0.042688 0.069338 2243 40 18	A3565
00071 312.819583 -52.695278 0.045705 769.161 -22.158 32.279 1.538266 -0.040581 0.059117 4.325010 -0.342294 0.498639 677 277 163	A3716
00072 95.447500 -64.959722 0.026700 496.582 -30.953 53.947 1.023137 -0.058401 0.101785 1.250200 -0.214085 0.373123 649 22 20	A3389
00074 16.927375 -46.908028 0.023702 184.974 -50.613 61.877 0.397745 -0.099664 0.121843 0.073247 -0.055061 0.067314 524 40 7	A2870
00085 326.981260 -46.005280 0.059600 504.476 -50.336 107.646 0.995221 -0.090937 0.194471 1.186815 -0.325330 0.695729 485 9 9	A974
00086 359.433320 0.801940 0.061600 205.413 -21.551 47.699 0.433828 -0.041680 0.092253 0.098494 -0.028388 0.062834 651 39 8	CODEX-59603
00088 56.540000 -57.050000 0.057000 454.385 -115.595 85.273 0.905458 -0.210940 0.155608 0.891562 -0.623109 0.459661 434 16 9	MCXCJ0346.1-5702
00089 201.573300 0.225100 0.082600 322.786 -42.860 72.289 0.657249 -0.079918 0.134793 0.349515 -0.127497 0.215042 1147 32 10	MCXCJ1326.2+0013
00090 155.120000 -6.519700 0.054000 529.118 -55.932 99.783 1.061084 -0.102715 0.183244 1.430722 -0.415488 0.741236 575 20 14	MCXCJ1020.4-0631
00092 155.478000 -4.950000 0.053300 379.118 -36.273 56.527 0.793204 -0.069499 0.108304 0.597272 -0.156994 0.244654 818 103 27	A993
00093 16.068260 -0.222760 0.050685 290.528 -24.771 44.364 0.615009 -0.048020 0.086000 0.277705 -0.065049 0.116499 1735 64 15	[YMV2007]841
00094 214.402700 2.061870 0.053670 544.403 -33.579 47.658 1.112772 -0.062854 0.089208 1.649636 -0.279536 0.396739 893 342 59	MKW6
00095 154.931300 -0.643600 0.094100 299.833 -69.216 86.135 0.615438 -0.130104 0.161905 0.290221 -0.184058 0.229048 616 15 12	[YMV2007]1540
00101 159.174160 -27.524440 0.012600 720.199 -24.918 32.529 1.471564 -0.046624 0.060866 3.671866 -0.349014 0.455625 1120 418 231	Hydra
00102 157.421130 -35.325790 0.011100 727.816 -41.268 50.580 1.482932 -0.077000 0.094375 3.752493 -0.584536 0.716432 1239 349 79	Antlia
00103 150.059540 -19.636960 0.013200 277.298 -29.681 45.623 0.606897 -0.059486 0.091438 0.257711 -0.075780 0.116483 261 41 27	NGC3091
00105 156.634500 -39.944000 0.008400 99.769 -46.688 21.704 0.220929 -0.094677 0.044013 0.012378 -0.015913 0.007398 520 5 5	NGC3250
00106 157.305792 -44.122917 0.009000 188.676 -16.979 41.393 0.411321 -0.033896 0.082635 0.079922 -0.019758 0.048170 499 23 8	NGC3263
00108 156.963700 -43.903800 0.009354 163.248 -22.958 36.909 0.357082 -0.045986 0.073931 0.052308 -0.020209 0.032490 480 20 7	NGC3256
00109 160.147000 -46.183300 0.020400 474.175 -50.377 77.655 0.985418 -0.095872 0.147784 1.110488 -0.324121 0.499624 451 27 22	A639
00110 147.250000 -26.033500 0.049900 544.173 -87.026 127.096 1.024618 -0.150055 0.219146 1.283220 -0.563783 0.823369 172 5 5	A620
