field,n_objects
SPLUS-n18s43_predicted,60040
SPLUS-n18s44_predicted,64159
SPLUS-n18s45_predicted,51424
SPLUS-n19s13_predicted,22752
SPLUS-n19s14_predicted,59533
SPLUS-n19s19_predicted,61325
SPLUS-n19s20_predicted,52961
SPLUS-n19s21_predicted,60998
SPLUS-n19s22_predicted,48897
SPLUS-n19s23_predicted,61828
SPLUS-n19s24_predicted,62212
SPLUS-n19s25_predicted,53496
SPLUS-n19s26_predicted,62248
SPLUS-n19s27_predicted,50830
SPLUS-n19s28_predicted,56235
SPLUS-n19s29_predicted,62642
SPLUS-n19s30_predicted,48851
SPLUS-n19s31_predicted,46691
SPLUS-n19s32_predicted,56432
SPLUS-n19s33_predicted,53876
SPLUS-n19s34_predicted,53404
SPLUS-n19s35_predicted,20441
SPLUS-n20s13_predicted,4959
SPLUS-n20s15_predicted,53145
SPLUS-n20s16_predicted,58853
SPLUS-n20s17_predicted,64081
SPLUS-n20s18_predicted,50656
SPLUS-n20s19_predicted,63859
SPLUS-n20s20_predicted,57266
SPLUS-n20s21_predicted,66225
SPLUS-n20s22_predicted,65690
SPLUS-n20s23_predicted,60319
SPLUS-n20s24_predicted,58883
SPLUS-n20s25_predicted,69972
SPLUS-n20s26_predicted,66885
SPLUS-n20s27_predicted,75292
SPLUS-n20s28_predicted,64879
SPLUS-n20s29_predicted,60215
SPLUS-n20s30_predicted,64349
SPLUS-n20s31_predicted,58241
SPLUS-n20s32_predicted,51911
SPLUS-n20s33_predicted,56053
SPLUS-n20s34_predicted,36217
